loan_id,birth_date,phone_number,gender,married,dependents,education,self_employed,applicant_income,coapplicant_income,loan_amount,loan_term_month,loan_term_year,credit_history,property_type,loan_status
LP001002,"1977-05-15","+628114203187",Male,No,0,Graduate,No,5849,0,100000,360,30,1,house,APPROVE
LP001003,"1979-08-24","+628776449212",Male,Yes,1,Graduate,No,4583,1508,128000,360,30,1,studio,REJECT
LP001005,"1991-03-28","+628119240537",Male,Yes,0,Graduate,Yes,3000,0,66000,360,30,1,house,APPROVE
LP001006,"1980-06-02","+62856343702",Male,Yes,0,Not Graduate,No,2583,2358,120000,360,30,1,house,APPROVE
LP001008,"1989-05-19","+628113008687",Male,No,0,Graduate,No,6000,0,141000,360,30,1,house,APPROVE
LP001011,"1986-01-22","+62811028825",Male,Yes,2,Graduate,Yes,5417,4196,267000,360,30,1,house,APPROVE
LP001013,"1979-06-16","+628111840127",Male,Yes,0,Not Graduate,No,2333,1516,95000,360,30,1,house,APPROVE
LP001014,"1999-05-21","+628567566695",Male,Yes,3+,Graduate,No,3036,2504,158000,360,30,0,apartment,REJECT
LP001018,"1987-08-25","+628528959314",Male,Yes,2,Graduate,No,4006,1526,168000,360,30,1,house,APPROVE
LP001020,"1983-12-13","+628118659695",Male,Yes,1,Graduate,No,12841,10968,349000,360,30,1,apartment,REJECT
LP001024,"1984-03-08","+628116652331",Male,Yes,2,Graduate,No,3200,700,70000,360,30,1,house,APPROVE
LP001027,"1983-05-06","+628110331279",Male,Yes,2,Graduate,,2500,1840,109000,360,30,1,house,APPROVE
LP001028,"1987-11-16","+628112778301",Male,Yes,2,Graduate,No,3073,8106,200000,360,30,1,house,APPROVE
LP001029,"1976-06-13","+628132105871",Male,No,0,Graduate,No,1853,2840,114000,360,30,1,studio,REJECT
LP001030,"1986-09-04","+628115076013",Male,Yes,2,Graduate,No,1299,1086,17000,120,10,1,house,APPROVE
LP001032,"1989-09-07","+628774718199",Male,No,0,Graduate,No,4950,0,125000,360,30,1,house,APPROVE
LP001034,"1987-11-17",,Male,No,1,Not Graduate,No,3596,0,100000,240,20,,house,APPROVE
LP001036,"1976-06-25","+628561626867",Female,No,0,Graduate,No,3510,0,76000,360,30,0,house,REJECT
LP001038,,"+628112236123",Male,Yes,0,Not Graduate,No,4887,0,133000,360,30,1,studio,REJECT
LP001041,"1992-04-19","+628112135606",Male,Yes,0,Graduate,,2600,3500,115000,360,30,1,house,APPROVE
LP001043,"1993-12-11","+62857672414",Male,Yes,0,Not Graduate,No,7660,0,104000,360,30,0,house,REJECT
LP001046,"1984-06-25","+628521909126",Male,Yes,1,Graduate,No,5955,5625,315000,360,30,1,house,APPROVE
LP001047,"1987-10-07","+628138852161",Male,Yes,0,Not Graduate,No,2600,1911,116000,360,30,0,apartment,REJECT
LP001050,"1989-09-15","+62857915239",,Yes,2,Not Graduate,No,3365,1917,112000,360,30,0,studio,REJECT
LP001052,"1980-11-08","+62811547270",Male,Yes,1,Graduate,,3717,2925,151000,360,30,,apartment,REJECT
